/home/liuyunqi/trees/toy_scalar_dev/work/rtl_compile/simv +HEX=/tools/zdchen/riscv-proj/hello_world/build/coremark_itcm.hex +DATA_HEX=/tools/zdchen/riscv-proj/hello_world/build/coremark_dtcm.hex  +TIMEOUT=0
Chronologic VCS simulator copyright 1991-2022
Contains Synopsys proprietary information.
Compiler version T-2022.06_Full64; Runtime version T-2022.06_Full64;  Jan 28 15:49 2024
[SYSTEM] Timeout threshold is set to 0 cycles.
[J] current inst[800000a0]=058050ef, jal to dest pc 800050f8.
[J] current inst[80005188]=2e9010ef, jal to dest pc 80006c70.
[J] current inst[80006c8c]=fedfb0ef, jal to dest pc 80002c78.
[J] current inst[80002c7c]=00008067, jalr to dest pc 80006c90.
[J] current inst[80006ca4]=00008067, jalr to dest pc 8000518c.
[J] current inst[80005190]=7a4010ef, jal to dest pc 80006934.
[J] current inst[80006950]=00078067, jalr to dest pc 80006960.
[J] current inst[80006968]=00008067, jalr to dest pc 80005194.
[J] current inst[800051a4]=790010ef, jal to dest pc 80006934.
[J] current inst[80006950]=00078067, jalr to dest pc 8000696c.
[J] current inst[80006974]=00008067, jalr to dest pc 800051a8.
[J] current inst[800051b8]=77c010ef, jal to dest pc 80006934.
[J] current inst[80006950]=00078067, jalr to dest pc 80006978.
[J] current inst[80006980]=00008067, jalr to dest pc 800051bc.
[J] current inst[800051cc]=768010ef, jal to dest pc 80006934.
[J] current inst[80006950]=00078067, jalr to dest pc 80006984.
[J] current inst[8000698c]=00008067, jalr to dest pc 800051d0.
[J] current inst[800051dc]=758010ef, jal to dest pc 80006934.
[J] current inst[80006950]=00078067, jalr to dest pc 80006954.
[J] current inst[8000695c]=00008067, jalr to dest pc 800051e0.
[J] current inst[80005504]=dadff06f, jal to dest pc 800052b0.
[J] current inst[80005504]=dadff06f, jal to dest pc 800052b0.
[J] current inst[80005504]=dadff06f, jal to dest pc 800052b0.
[J] current inst[800052f0]=bedff0ef, jal to dest pc 80004edc.
[J] current inst[80004fe0]=0300006f, jal to dest pc 80005010.
[J] current inst[8000505c]=a85ff06f, jal to dest pc 80004ae0.
[J] current inst[80004bbc]=000c00e7, jalr to dest pc 80004914.
[J] current inst[8000496c]=00008067, jalr to dest pc 80004bc0.
[J] current inst[80004ba8]=fd9ff06f, jal to dest pc 80004b80.
[J] current inst[80004bbc]=000c00e7, jalr to dest pc 80004914.
[J] current inst[8000496c]=00008067, jalr to dest pc 80004bc0.
[J] current inst[80004bbc]=000c00e7, jalr to dest pc 80004914.
[J] current inst[8000496c]=00008067, jalr to dest pc 80004bc0.
[J] current inst[80004bbc]=000c00e7, jalr to dest pc 80004914.
[J] current inst[8000496c]=00008067, jalr to dest pc 80004bc0.
[J] current inst[80004bd0]=fa5ff06f, jal to dest pc 80004b74.
[J] current inst[80004bbc]=000c00e7, jalr to dest pc 80004914.
[J] current inst[8000496c]=00008067, jalr to dest pc 80004bc0.
[J] current inst[80004bd0]=fa5ff06f, jal to dest pc 80004b74.
[J] current inst[80004bbc]=000c00e7, jalr to dest pc 80004914.
[J] current inst[8000496c]=00008067, jalr to dest pc 80004bc0.
[J] current inst[80004bd0]=fa5ff06f, jal to dest pc 80004b74.
[J] current inst[80004bbc]=000c00e7, jalr to dest pc 80004914.
[J] current inst[8000496c]=00008067, jalr to dest pc 80004bc0.
[J] current inst[80004bd0]=fa5ff06f, jal to dest pc 80004b74.
[J] current inst[80004bbc]=000c00e7, jalr to dest pc 80004914.
[J] current inst[8000496c]=00008067, jalr to dest pc 80004bc0.
[J] current inst[80004bd0]=fa5ff06f, jal to dest pc 80004b74.
[J] current inst[80004bbc]=000c00e7, jalr to dest pc 80004914.
[J] current inst[8000496c]=00008067, jalr to dest pc 80004bc0.
[J] current inst[80004bd0]=fa5ff06f, jal to dest pc 80004b74.
[J] current inst[80004bbc]=000c00e7, jalr to dest pc 80004914.
[J] current inst[8000496c]=00008067, jalr to dest pc 80004bc0.
[J] current inst[80004bd0]=fa5ff06f, jal to dest pc 80004b74.
[J] current inst[80004bbc]=000c00e7, jalr to dest pc 80004914.
[J] current inst[8000496c]=00008067, jalr to dest pc 80004bc0.
